MUID,Edible,CapShape,CapSurface,CapColor,Bruises,Odor,GillAttached,GillSpacingCrowded,GillSizeBroad,GillColor,StalkShapeEnlarging,StalkRoot,StalkSurfaceAboveRing,StalkSurfaceBelowRing,StalkColorAboveRing,StalkColorBelowRing,VeilColor,RingNumber,RingType,SporePrintColor,Population,Habitat
1123,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Pink,Gray,White,One,Pendant,Black,Several,Woods
1124,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Pink,Gray,White,One,Pendant,Brown,Solitary,Woods
1125,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Pink,Gray,White,One,Pendant,Brown,Several,Woods
1126,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Gray,White,White,One,Pendant,Brown,Solitary,Woods
1127,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Gray,Pink,White,One,Pendant,Black,Solitary,Woods
1128,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Gray,Pink,White,One,Pendant,Brown,Several,Woods
1129,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Gray,Gray,White,One,Pendant,Black,Several,Woods
1130,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Gray,Gray,White,One,Pendant,Brown,Several,Woods
1131,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Black,Solitary,Woods
1132,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
1133,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,White,Pink,White,One,Pendant,Black,Solitary,Woods
1134,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,White,Pink,White,One,Pendant,Brown,Several,Woods
1135,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,White,Gray,White,One,Pendant,Black,Several,Woods
1136,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,White,Gray,White,One,Pendant,Brown,Solitary,Woods
1137,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,White,Gray,White,One,Pendant,Brown,Several,Woods
1138,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Pink,White,White,One,Pendant,Black,Solitary,Woods
1139,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Pink,White,White,One,Pendant,Brown,Solitary,Woods
1140,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Pink,Pink,White,One,Pendant,Black,Several,Woods
1141,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Pink,Pink,White,One,Pendant,Brown,Solitary,Woods
1142,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Pink,Pink,White,One,Pendant,Brown,Several,Woods
1143,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Pink,Gray,White,One,Pendant,Black,Solitary,Woods
1144,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Pink,Gray,White,One,Pendant,Black,Several,Woods
1145,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Pink,Gray,White,One,Pendant,Brown,Solitary,Woods
1146,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Pink,Gray,White,One,Pendant,Brown,Several,Woods
1147,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Gray,White,White,One,Pendant,Black,Several,Woods
1148,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Gray,White,White,One,Pendant,Brown,Solitary,Woods
1149,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Gray,Pink,White,One,Pendant,Black,Solitary,Woods
1150,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Gray,Pink,White,One,Pendant,Black,Several,Woods
1151,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Gray,Pink,White,One,Pendant,Brown,Solitary,Woods
1152,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Gray,Gray,White,One,Pendant,Black,Several,Woods
1153,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Gray,Gray,White,One,Pendant,Brown,Solitary,Woods
1154,Yes,Convex,Fibrous,Gray,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Gray,Gray,White,One,Pendant,Brown,Several,Woods
1155,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Black,Several,Woods
1156,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Solitary,Woods
1157,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,White,Pink,White,One,Pendant,Black,Several,Woods
1158,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,White,Pink,White,One,Pendant,Brown,Several,Woods
1159,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,Pink,White,White,One,Pendant,Brown,Solitary,Woods
1160,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,Pink,White,White,One,Pendant,Brown,Several,Woods
1161,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,Pink,Pink,White,One,Pendant,Black,Several,Woods
1162,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,Pink,Pink,White,One,Pendant,Brown,Solitary,Woods
1163,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,Pink,Pink,White,One,Pendant,Brown,Several,Woods
1164,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,Pink,Gray,White,One,Pendant,Black,Solitary,Woods
1165,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,Pink,Gray,White,One,Pendant,Brown,Solitary,Woods
1166,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,Pink,Gray,White,One,Pendant,Brown,Several,Woods
1167,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,Gray,White,White,One,Pendant,Black,Solitary,Woods
1168,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,Gray,White,White,One,Pendant,Black,Several,Woods
1169,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,Gray,White,White,One,Pendant,Brown,Several,Woods
1170,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,Gray,Pink,White,One,Pendant,Brown,Solitary,Woods
1171,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,Gray,Gray,White,One,Pendant,Black,Solitary,Woods
1172,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Solitary,Woods
1173,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
1174,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,White,Pink,White,One,Pendant,Black,Several,Woods
1175,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,White,Pink,White,One,Pendant,Brown,Several,Woods
1176,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,White,Gray,White,One,Pendant,Black,Solitary,Woods
1177,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,White,Gray,White,One,Pendant,Black,Several,Woods
1178,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,White,Gray,White,One,Pendant,Brown,Solitary,Woods
1179,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,White,Gray,White,One,Pendant,Brown,Several,Woods
1180,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Pink,White,White,One,Pendant,Black,Several,Woods
1181,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Pink,White,White,One,Pendant,Brown,Solitary,Woods
1182,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Pink,Pink,White,One,Pendant,Brown,Solitary,Woods
1183,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Pink,Gray,White,One,Pendant,Black,Several,Woods
1184,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Pink,Gray,White,One,Pendant,Brown,Several,Woods
1185,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Gray,White,White,One,Pendant,Black,Solitary,Woods
1186,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Gray,White,White,One,Pendant,Black,Several,Woods
1187,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Gray,White,White,One,Pendant,Brown,Several,Woods
1188,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Gray,Pink,White,One,Pendant,Black,Several,Woods
1189,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Gray,Pink,White,One,Pendant,Brown,Solitary,Woods
1190,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Gray,Gray,White,One,Pendant,Black,Solitary,Woods
1191,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Gray,Gray,White,One,Pendant,Black,Several,Woods
1192,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
1193,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,White,Pink,White,One,Pendant,Brown,Several,Woods
1194,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,White,Gray,White,One,Pendant,Brown,Solitary,Woods
1195,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Pink,Pink,White,One,Pendant,Brown,Solitary,Woods
1196,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Pink,Pink,White,One,Pendant,Brown,Several,Woods
1197,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Pink,Gray,White,One,Pendant,Black,Solitary,Woods
1198,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Pink,Gray,White,One,Pendant,Black,Several,Woods
1199,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Pink,Gray,White,One,Pendant,Brown,Solitary,Woods
1200,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Gray,White,White,One,Pendant,Brown,Solitary,Woods
1201,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Gray,Pink,White,One,Pendant,Black,Solitary,Woods
1202,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Gray,Pink,White,One,Pendant,Brown,Several,Woods
1203,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Gray,Gray,White,One,Pendant,Black,Solitary,Woods
1204,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Gray,Gray,White,One,Pendant,Brown,Solitary,Woods
1205,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Black,Solitary,Woods
1206,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Black,Several,Woods
1207,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Solitary,Woods
1208,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
1209,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,White,Pink,White,One,Pendant,Brown,Several,Woods
1210,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,White,Gray,White,One,Pendant,Black,Several,Woods
1211,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,White,Gray,White,One,Pendant,Brown,Solitary,Woods
1212,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Pink,White,White,One,Pendant,Black,Solitary,Woods
1213,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Pink,White,White,One,Pendant,Brown,Several,Woods
1214,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Pink,Pink,White,One,Pendant,Black,Solitary,Woods
1215,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Pink,Pink,White,One,Pendant,Black,Several,Woods
1216,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Pink,Gray,White,One,Pendant,Black,Several,Woods
1217,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Pink,Gray,White,One,Pendant,Brown,Several,Woods
1218,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Gray,White,White,One,Pendant,Brown,Solitary,Woods
1219,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Gray,White,White,One,Pendant,Brown,Several,Woods
1220,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Gray,Pink,White,One,Pendant,Brown,Several,Woods
1221,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Gray,Gray,White,One,Pendant,Black,Solitary,Woods
1222,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Gray,Gray,White,One,Pendant,Black,Several,Woods
1223,Yes,Convex,Fibrous,Red,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Gray,Gray,White,One,Pendant,Brown,Several,Woods
1224,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Black,Solitary,Woods
1225,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Solitary,Woods
1226,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,White,Pink,White,One,Pendant,Black,Solitary,Woods
1227,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,White,Pink,White,One,Pendant,Black,Several,Woods
1228,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,White,Pink,White,One,Pendant,Brown,Solitary,Woods
1229,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,White,Gray,White,One,Pendant,Black,Solitary,Woods
1230,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,White,Gray,White,One,Pendant,Black,Several,Woods
1231,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,White,Gray,White,One,Pendant,Brown,Several,Woods
1232,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,Pink,White,White,One,Pendant,Black,Solitary,Woods
1233,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,Pink,White,White,One,Pendant,Black,Several,Woods
1234,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,Pink,Pink,White,One,Pendant,Black,Several,Woods
1235,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,Pink,Pink,White,One,Pendant,Brown,Several,Woods
1236,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,Pink,Gray,White,One,Pendant,Black,Several,Woods
1237,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,Pink,Gray,White,One,Pendant,Brown,Solitary,Woods
1238,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,Gray,White,White,One,Pendant,Black,Solitary,Woods
1239,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,Gray,White,White,One,Pendant,Black,Several,Woods
1240,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,Gray,White,White,One,Pendant,Brown,Solitary,Woods
1241,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,Gray,Pink,White,One,Pendant,Black,Solitary,Woods
1242,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,Gray,Pink,White,One,Pendant,Brown,Several,Woods
1243,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,White,No,Bulbous,Smooth,Smooth,Gray,Gray,White,One,Pendant,Brown,Several,Woods
1244,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Black,Solitary,Woods
1245,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Black,Several,Woods
1246,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
1247,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,White,Pink,White,One,Pendant,Black,Solitary,Woods
1248,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,White,Gray,White,One,Pendant,Black,Several,Woods
1249,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Pink,White,White,One,Pendant,Black,Solitary,Woods
1250,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Pink,White,White,One,Pendant,Black,Several,Woods
1251,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Pink,White,White,One,Pendant,Brown,Solitary,Woods
1252,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Pink,Pink,White,One,Pendant,Brown,Several,Woods
1253,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Pink,Gray,White,One,Pendant,Black,Solitary,Woods
1254,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Pink,Gray,White,One,Pendant,Black,Several,Woods
1255,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Pink,Gray,White,One,Pendant,Brown,Solitary,Woods
1256,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Gray,White,White,One,Pendant,Black,Several,Woods
1257,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Gray,White,White,One,Pendant,Brown,Several,Woods
1258,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Gray,Pink,White,One,Pendant,Black,Solitary,Woods
1259,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Gray,Pink,White,One,Pendant,Black,Several,Woods
1260,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Gray,Pink,White,One,Pendant,Brown,Solitary,Woods
1261,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Gray,Gray,White,One,Pendant,Black,Several,Woods
1262,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Gray,Gray,White,One,Pendant,Brown,Solitary,Woods
1263,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Pink,No,Bulbous,Smooth,Smooth,Gray,Gray,White,One,Pendant,Brown,Several,Woods
1264,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Solitary,Woods
1265,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,White,Pink,White,One,Pendant,Black,Solitary,Woods
1266,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,White,Pink,White,One,Pendant,Brown,Solitary,Woods
1267,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,White,Pink,White,One,Pendant,Brown,Several,Woods
1268,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,White,Gray,White,One,Pendant,Black,Solitary,Woods
1269,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,White,Gray,White,One,Pendant,Brown,Solitary,Woods
1270,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Pink,White,White,One,Pendant,Black,Solitary,Woods
1271,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Pink,Pink,White,One,Pendant,Black,Several,Woods
1272,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Pink,Pink,White,One,Pendant,Brown,Solitary,Woods
1273,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Pink,Gray,White,One,Pendant,Black,Several,Woods
1274,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Pink,Gray,White,One,Pendant,Brown,Several,Woods
1275,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Gray,White,White,One,Pendant,Black,Several,Woods
1276,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Gray,Pink,White,One,Pendant,Black,Solitary,Woods
1277,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Gray,Pink,White,One,Pendant,Black,Several,Woods
1278,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Purple,No,Bulbous,Smooth,Smooth,Gray,Gray,White,One,Pendant,Brown,Several,Woods
1279,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Black,Several,Woods
1280,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
1281,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,White,Pink,White,One,Pendant,Black,Solitary,Woods
1282,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,White,Pink,White,One,Pendant,Brown,Solitary,Woods
1283,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,White,Pink,White,One,Pendant,Brown,Several,Woods
1284,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,White,Gray,White,One,Pendant,Black,Solitary,Woods
1285,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,White,Gray,White,One,Pendant,Black,Several,Woods
1286,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Pink,White,White,One,Pendant,Black,Solitary,Woods
1287,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Pink,White,White,One,Pendant,Brown,Solitary,Woods
1288,Yes,Convex,Fibrous,Brown,Yes,None,No,No,Yes,Brown,No,Bulbous,Smooth,Smooth,Pink,Pink,White,One,Pendant,Black,Solitary,Woods
